北京汉丽轩自助烤肉火锅超市(香港城店),0391-3127177,解放区解放中路香港城四楼
优品鲜花(百合花坊),400-968-9906,解放区烈士街195号
百家鲜花(亦梦亦幻),400-608-0763,中站区怡光路96号
优品鲜花(百汇花店),400-968-9906,解放区站前路北45号
百家鲜花(贴心花坊),400-608-0763,山阳区塔南路160号
等你鲜花(雅阳花坊),400-004-0493,解放区阳光大厦底商
沐沐鲜花,400-687-1160/15107140027,山阳区塔南路14号
沁香阁,400-668-5831,孟州市黄河大道与大定南路交汇处
葵花坊,400-668-5831,解放区梅苑小区
花之上品(向日葵花店),400-827-4588,解放区解放中路37号
百花萱花坊店,400-601-2271,解放区解放中路三维商业广场
花之上品(珍爱花坊),400-827-4588,解放区孟州路花卉市场81号
彤彤花店,400-687-1160/15107140027,孟州市东黄河大道9号
青艾花屋,400-668-5831,沁阳市自由路商业步行街d栋楼
柏斯花店,400-002-8696,解放区人民路728号
等你鲜花(阳光花店),400-004-0493,山阳区桂枫园小区6号楼底商
花之上品(唯美鲜花),400-827-4588,沁阳市怀府中路852号
花之上品(蕊心花艺公司),400-827-4588,博爱县商贸城6号
伊帆鲜花店(阳区馨园小区店),15990153254,山阳区馨园小区13号楼
桂枝鲜花,400-687-1160/15107140027,解放区普济路1250号
花馨小站鲜花店,400-601-2271,解放区青年路步行街6号
荷兰花坊,400-687-1160/15107140027,孟州市桑坡村商贸大道19号
花之上品(花速鲜花店),400-827-4588,解放区济水大街济钢医院左面211米
花之上品(奇迹花艺),400-827-4588,孟州市河阳大街西段311米
时光花园鲜花店,400-601-2271,山阳区都市路东
花之上品(乐乐好鲜花),400-827-4588,解放区民主路火车站东311米
花之上品(心心燕子花店),400-827-4588,山阳区工业路北341米
花之上品(北斗花卉中心),400-827-4588,温县人民路387号
花之上品(珍爱花店),400-827-4588,山阳区焦东南路228号
花之上品(岸芷汀兰花店),400-827-4588,山阳区山阳路90号
好好先生花店,400-090-9131,山阳区新丰二街7号
尚爱花店,13521999488,解放区月季农贸市场42号
石榴花屋,400-090-9131,山阳区建设东路194号
十天花开花店,13521999488,山阳区东方红广场东巷13号
都市鲜花店,400-827-4588,孟州市农坛南路74号
花缘花事花店,400-827-4588,温县黄河路97号
喜洋洋花屋,400-827-4588,温县温徐路50号
花丛鲜花店,400-827-4588,温县温泉路74号
鲜花店,400-827-4588,孟州市梧桐南路96号
芬芳花坊(花之语鲜花),400-608-2520,解放区民主路33号
兰兰百花缘鲜花店,400-827-4588,沁阳市河内路97号
花季时光(六朵花鲜花店),18995566224,孟州市西韩愈大街294
花仙子鲜花,400-827-4588,孟州市汇丰路97号
欣欣花卉,400-827-4588,沁阳市覃怀西路94号
花开相爱鲜花店,400-827-4588,温县工业路20号
鲜花店,400-827-4588,沁阳市民主路10号
真善美,400-827-4588,修武县为民路96号
花季时光(花期),18995566224,沁阳市覃怀西路西关新区65号
陆小姐的花店,400-827-4588,孟州市大定南路20号
上品鲜花店,400-827-4588,温县太行路34号
东方花苑花店,400-827-4588,沁阳市人和南路15号
英子花艺店,400-827-4588,修武县六一路84号
缘梦鲜花(情缘鲜花店),400-806-9016,山阳区山阳路3292号豫龙商贸城7号楼
缘梦鲜花(馨语鲜花礼品店),400-806-9016,山阳区工业路东段458号
青青鲜花店(百合鲜花店),15971480478,山阳区龙源湖小区附近
世辰鲜花(焦作店),18823465590,山阳区焦东北路33号
花缘鲜花(840店),400-036-5698,解放区黄河大道与合欢路交叉口往北30米
品牌鲜花(北欧花坊),400-765-7273,解放区健康路90号
品牌鲜花(千色花店),400-765-7273,博爱县老城街12号
品牌鲜花(懿花园),400-765-7273,解放区七贤大道170号
品牌鲜花(花之语鲜花店),400-765-7273,武陟县兴华路5号
999花坊连锁(健康花坊),400-879-2028/18268364560,沁阳市沁园北路661号
花缘鲜花(2003店),400-036-5698,山阳区解放中路东方百货对面
爱之裳鲜花(中站区店),400-969-1299,中站区中国建设银行北50米
爱之裳鲜花(沁阳市店),400-969-1299,沁阳市玫瑰城/步行街怀府东路
爱之裳鲜花(修武县店),400-969-1299,修武县百货大楼七贤大道百货楼后步行街
爱之裳鲜花(武陟县店),400-969-1299,武陟县朝阳二街朝阳二街和平学校对面
爱之裳鲜花(博爱县店),400-969-1299,博爱县鸿昌街道办事处中山路中段126号
爱之裳鲜花(温县店),400-969-1299,温县太行路中段胖发祥购物广场
爱之裳鲜花(孟州市店),400-969-1299,孟州市维克瑞步行街
花开心鲜花店(时倾花坊),400-090-9920,温县慈胜大街与温孟老路交叉口200米
花开心鲜花店(遇见花开花店),400-090-9920,修武县司法局北200米
花开心鲜花店(集友鲜花婚典),400-090-9920,沁阳市怀府西路南500米
花惜缘花坊,19925446491,解放区友谊路19号
花惜缘花坊(山阳店),19925446491,山阳区人民路常庄北区41号
玫瑰花语(缔花坊),13137185254,山阳区建设路与焦东路交叉口雕塑公园50米花卉市场
钟意鲜花(彩虹花?),400-806-9016,山阳区解放中路401号
钟意鲜花(美佳花),400-806-9016,解放区建设中路855号
钟意鲜花(豆蔻花),400-806-9016,山阳区定和村16号
钟意鲜花(一品花),400-806-9016,山阳区塔南路1736号
钟意鲜花(花尚良缘坊),400-806-9016,山阳区解放中路267号
慕之花慕鲜花店(花海情缘鲜花店),400-090-9131,中站区运输街
慕之花慕鲜花店(紫蝶花艺),400-090-9131,解放区怡光路
慕之花慕鲜花店(岚园花坊),400-090-9131,解放区太行路华园小区5号
慕之花慕鲜花店(佳艺花艺),400-090-9131,解放区民主南路美中城936号
慕之花慕鲜花店(芳香园花店),400-090-9131,马村区纬北路8号
慕之花慕鲜花店(花语鲜花店),400-090-9131,马村区水采东街
梦之语鲜花,18993128756,山阳区塔南路283号
花送鲜花(月下缘梦鲜花),400-772-5058,山阳区建设中路18号
花送鲜花(紫云花屋),400-772-5058,山阳区迎宾路与世纪路交叉口向东100米
晶亮眼镜,13782736635,山阳区玉溪路万鑫商城0103号
和美鲜花(早熟禾花店),13782763441,解放区民主路时装衬衫厂西
初心花店,13137937163,武陟县木栾大道懿品阁北门初心花店（水木清华小区）
雪亮眼镜视光中心,13283862002,武陟县红旗路朝阳一街交叉口向南150米路西（大胖百货超市北20米路西）
花萝莉鲜花(焦作店),13922831992,解放区孟州路花卉市场
金明眼镜店,13298388862,沁阳市汽车站往东50米路南金明眼镜店
弗纳兰鲜花店,400-002-8696,温县人民大街44号
弗洛坊花店,400-002-8696,武陟县黄河大道18号
花送鲜花(花仙子鲜花婚庆),400-772-5058,解放区丰收路660号
花送鲜花(阳光花坊),400-772-5058,解放区翠园小区36-2号
宝视达眼镜(焦作万达广场店),0391-6399630,解放区丰收路与民主路交叉口万达广场2楼2080宝视达眼镜1294
花缘鲜花(花时间花店),13523187977,武陟县红旗路与朝阳二街交叉口向北100米路东
心花路放,18639116380,孟州市西河阳大街三区口
三维戴斯酒店?游泳馆,0391-2288888,解放区民主路555号三维戴斯酒店
晶阳光桌球运动,13603449191,山阳区焦东路南路60号轮胎厂西门对面百胜源超市北邻
YooUP?呦吖蹦床主题运动馆,0391-3689965/19939159289,解放区北环路473-669号
keep fit健身生活馆,15938176151,山阳区玉溪路与太极路交叉口南行50米路东（正大国贸西门636号商铺）
火力全开健身工作室(龙源世家店),0391-3565883/15893079003,山阳区迎宾路36-37号（龙源世家小区东门旁）
青青水上乐园,15670999295,温县一号路万青生态园内（顺风驾校西200米）
威斯堡新东游泳馆(新东店),18639158007/15239171777,山阳区太行中路59号新东大院
云台山风景名胜区,0391-7709300,修武县七贤镇云台山风景名胜区
红石峡,0391-7709300,修武县云台山风景区内
云台山高空玻璃栈道,0391-7709300,修武县云台山风景区内
猕猴谷,0391-7709300,修武县云台山百家岩（近小寨沟）
泉瀑峡,0356-7709300/7709920,修武县云台山景区
云台天瀑,0391-7709300,修武县岸上乡云台山风景名胜区泉瀑峡尽头
茱萸峰,0391-7709300/7709920,修武县云台山风景区内
云台蓝色港湾时尚酒店,13723170012/18639174191,修武县云台山镇岸上村
青天河风景区,0391-8972910,博爱县寨豁乡青天河村南
熙悦精致旅馆,0391-3655118,解放区民主路与影视大道交叉口东20米路南（影视路缝山针公园西500米）
影视城宾馆,0391-2313333,解放区普济路影视城旁
神农山,0391-5036466,沁阳市紫陵镇神农山景区
红峡谷温泉馆(云台山店),0391-2117755/18739111000/15639188383,修武县七贤镇转盘西（焦作方向）800米七贤民俗村（修武县七贤镇方庄）
云台山田园牧歌大酒店,15639116503,修武县云台山镇云台山岸上服务区
陈家沟,0391-6418677,温县赵堡镇陈家沟村
焦作影视城,0391-2903168,解放区普济路北端与影视路交口
子房湖,0391-7709300,修武县云台山景区内
青龙峡风景名胜区,0391-7803018,修武县西村乡双庙村
麻雀驿栈,0391-3598858,解放区健康路尚明国际旁
中站宏焱风格酒店,0391-2958600,中站区太行路泰和超市正对面路口
承享欢乐世界,0391-2107777/3659789,山阳区山阳路与影视路交叉口东800米路北
五岳山庄宾馆,0391-3888560,解放区民主北路鹿港小镇北200米（电力局对面）
爱家快捷酒店,0391-3908888,解放区普济路影视大道交叉口（影视城南500米路东）
动物园游乐场,18834015678,解放区林园西路森林动物园内
爱的宾馆,0391-8821769/13639629053/13639629051,解放区嘉禾路影视城往西500米（监狱门口）
红峡谷温泉酒店(原锦绣云台温泉山庄),0391-2117755/13939107888,修武县七贤镇方庄转盘西800米
万善寺,0391-7709300,修武县云台山风景名胜区内
嘉应观,0391-7681095/7685111,武陟县嘉应观乡（杨庄村南侧）
岳峰酒店,0391-6388888,解放区影视城向东500米路北
聆山居宾馆,0391-2311556,解放区014县道影视城广场西200米
?尚景苑酒店,13782805060,修武县云台山岸上服务区东二街7号（近红石峡景点，距售票处50米）
焦作千红宾馆,0391-7709565/13523911963/15893075678/13939107771,修武县岸上服务区东一街3号
神农山长征旅游养生山庄,0391-5086333/13608637683,沁阳市神农山景区大门口南30米
云台山银河花园酒店,0391-7707777/7707111,修武县岸上乡云台山前黑石岭景区内（岸上学校对面）
翰园酒店,0391-2118166/18639903575,修武县岸上村东五街2号
云台山丽景精品酒店,0391-7709668,"修武县云台山岸上服务区东11街4号（近岸上售票处,老山门）"
鑫源宾馆,13503919863,解放区北环路与普济路交汇东北角
焦作怪坡园,13462847295/13503912223,解放区上白作乡老牛河村影视城西北一公里
海底世界,15036540060,解放区太行路人民公园内
净影风景区,15838930072,修武县西村乡影寺村
叠彩洞,0391-7709300,修武县云台山风景区内
荣逸度假酒店,0391-3636666,修武县宁城大道与峰林大道交叉口东南角（近云台山景区、云台古镇）
小王子主题乐园,18658788030,博爱县葵城路新宏大依衣不舍服饰广场三楼
百货大楼东方魔法家园,0391-3909929,山阳区解放中路东方红广场东方百货
花园宝贝儿童摄影,0391-2901639/13623916989,解放区和平中街综合楼小区（院内201号）
小鬼当家专业儿童摄影(解放中路店),0391-3888699/18239102400,解放区解放路与果园路交叉口西南角（农村信用合作社隔壁）
幸运宝贝儿童摄影,18639102421,山阳区韩愈路建业壹号城邦2号楼1单元18楼49号（近迎宾馆）
v8儿童摄影,0391-3659336/15838939637,解放区民主路与太行路路口公交医院东50米
Amy艾米儿童摄影工作室,0391-3655018/15838932033,解放区建设中路友谊路万联世纪城铜马尚品街东街向北100米路西
康馨产后恢复中心(焦作旗舰店),0391-8782291/8796181,解放区解放路西城美苑南门
馨域国际母婴健康馆,18530199978/15839192816,解放区民主南路普希顿花园大门南100米（民主南路和丰收路交叉口）
爱你宝贝儿童摄影,18639117362,解放区民主中路百货大楼北50米路西
芭黎娃娃孕婴摄影STUDIO,18639117362/13017506201,解放区解放路与新华街交叉口北100米路西
婴童邦婴儿游泳,17800290643/13782863251,山阳区山阳路龙源湖国际广场东门61号楼7楼（太极体育中心西门对面）
萌奇奇儿童摄影会馆,0391-2603039/13849598521,山阳区中海摩登商业街6-1号附近
武陟小脚丫儿童摄影馆,15893032326/13243032326,武陟县和平路与文化路交叉口北30米路东(武陟欧派精品店隔壁)
拾光孕婴童摄影,0391-4101116/18739186690,解放区映湖路锦祥商业街南口向西50米路北（近万达广场）
御生坊母婴护理中心(妇幼店),13598546632,解放区民主街道妇幼医院对面，小飞象北隔壁
智慧树精致儿童摄影,13782616161/18703910011,解放区果园路与新园路丁字口东街心花园
孕博士母婴健康调理中心,0391-3688398/18137209521,山阳区人民路东亿祥东郡二期门口往东50米（焦作大学门口）
喂爱丨哺育康复中心,15517777350/18603917171,解放区民主中路103号；妇幼保健院对面，爱心大药房北邻（近焦作市妇幼保健院；和平街）
爱你宝贝亲子摄影,18639117362/13017506201,山阳区长恩路建业森林半岛南区12号楼西14铺
御生坊母婴护理中心(理工大店),15639153758,山阳区韩愈路广电家园西100米
安琪儿产后恢复小儿推拿,18336896412,解放区解放区太行路63??15、16号（太行路63-15、16号）
金山母婴会所,0391-6306999/15670883356,解放区新园路月季公园北门对面金山医院二楼（原诗安国际产后恢复中心）
甜昕儿母婴护理会所,0391-2622223,山阳区丽景新天地商业街中段
蓝丝带产后恢复中心(妇幼店),0391-3720988/18639169110,解放区民主中路妇幼医院南行100米路东
玛丽皇后孕婴亲子馆,17339102345,解放区火车站大丰商城2楼131号
润雅完美母婴健康管理中心(丹尼斯店),0391-3560001/13017513077,山阳区人民路与塔南路交叉口东南角嘉隆国际小区3号楼西单元12楼东户
禧妈咪产后恢复?小儿推拿,17703821413/15993701211,孟州市西韩愈大街九鼎毓秀北门对面商铺（建设银行北行30米路西）
丹尼熊专业儿童摄影,0391-3563339/18697767619,解放区锦祥商业街北口（与百大超市，四季水果相邻，菲宇造型二楼。）
母子宝贝产后恢复中心,18339788300/15239744772,沁阳市覃怀路妇幼保健院路口往东240米（于小鱼炒鸡斜对面）
爱老虎儿童摄影,0391-2777999,解放区人民路与民主路交叉口东南角（交通银行旁边）
Annie靓妈咪产后恢复中心,15639103537,解放区焦作解放区民主南路人民路669号
