状元烤场(大学路总店),0371-86062929/400-003-1321,二七区大学路与中原路交叉口向南100米路东永辉超市2楼
姆米DIY私家烘焙,18703881486,惠济区开元路与金河路交叉口北郡LOFT公馆1131
吉时健康管理中心,0371-63688636/15638180114,金水区天泽街9-1号（豫见海南边奥特莱斯斜对面）
良子足浴,0371-55925506,新郑市文化路西段聚福源酒店隔壁
崔氏修脚足疗,0371-55053395,金水区园田路与文劳路交叉口东300米路北
七七足道,17398976378,金水区红专路与东明路交叉口东200米路南
欲雨SPA养生馆,15670638607,金水区文化路与红旗路交叉口西行200米路南广厦城市之巅
小程精筋推拿修脚,0371-68861989/13253566398,二七区嵩山路与汉江路交叉口向南100米路东
意心道汗蒸护肤馆,15617717011/15890118933,荥阳市国泰路豪布斯卡C座17楼1701室
小朱推拿(元通城店),0371-63225206,高新区元通纺织城元通雅居北门向东50米路南（108路，100路终点站向西150米）
彭世修脚品牌店,0371-53707018,金水区农业路与丰乐路交叉口向南200米路西（正道思达超市正对面）
中艾堂养生会所良咔瘦身,0371-85950177,新郑市洧水路36号洧水大药房3楼
捷骏台球俱乐部,0371-55885683,新郑市高坡岩西一街路口东20米阿利茄汁面三楼
东竹修脚会所(淮河路店),0371-63293323,二七区兴华南街淮河路口向西30米路北
唯秀KTV(中华路店),0371-62536789/62636789,新郑市中华路与金城路交汇处向南50米路西
娟梅盲人按摩院,13639880725/15039838980,二七区民安路与淮北街交叉口东行20路南
灵风弓术射箭馆,0371-60299400/17335740320,新郑市渔公四街鑫云快捷酒店二楼
繁花酒吧,0371-55151898,金水区农业路与政七街交叉口西北角
GALA旮旯空间,0371-55371316,管城回族区人民路75号鸿成光彩东南门负一层
彭世修脚(政通路店),0371-60939872/18163571033,二七区政通路与大学路交叉口向东400米路北
迷熹vr俱乐部(大商国贸店),15690875177,金水区花园路与农业路交叉口大商新玛特8楼
梦佳人spa养生馆(经三路店),18937183083/15639272708,金水区经三路与鑫苑路交叉口东行20米路北
蓝悦SPA养生会所,0371-66311515,金水区玉凤路与金水路交叉口南500米路东南浦国际12楼
腾影私人影院,15324972757,高新区莲花街长椿路交叉口往北800米谦祥万和城D区12号楼2单元19楼（工业大学西北门旁）
极光私人点播影院(新兴路淘宝城店),13383815581,巩义市新兴路26号淘宝城四楼
景之韵足道,17737616448,管城回族区七里河南路与西刘街交叉口向东200米路北
坐标空间光影艺术展,18037682916,二七区德化街无限城天幕南广场
健体艾灸推拿理疗室(阳光城店),0371-55960997/15038303783,管城回族区岗东路阳光城5号院西门4号楼1单元20楼2006室
手心 乐陶吧陶艺手工(公园茂分店),18203660039/15039051432,高新区雪松路迎春街儿童茂b座11楼1101
国医足道翡翠朝堂,0371-55555858,高新区石楠路与金菊街交叉口西北角翰林国际商业广场二层
沐沐主题私人影咖,0371-62970911/19939293944,登封市崇福路与崇高路南100米路东（沐沐三楼）
彭世修脚(曼哈顿店),0371-55255837,金水区顺河路与玉凤街交叉口向西200米西北角（小山城火锅店隔壁）
辩证推拿,18703839502,中原区桐柏路与棉纺路交口锦艺国际华都欧尚一期西门北一百米路东
手心?乐陶吧陶艺手工(国贸店),15516939090,金水区花园路丰产路向西200米妇幼广场三楼303
康斐斯足浴养生馆,0371-55201111,高新区雪松路1号
左右烘焙DIY手工蛋糕体验店,17752564545/18039971539,二七区政通路人和路升龙国际B区2号楼2单元913室
忆兰亭足道会馆(航海路店),0371-55002625,二七区航海中路179号（航海路与兴华南街交叉口西南角3楼）
坐足中原足道,0371-55955668,高新区石楠路与玉兰街交叉口向西100米路北
青未了咖啡音乐酒吧,18236786363,二七区航海路与连云路正商航海广场后商业街中段
尚博击剑俱乐部,18603822145/15638875648,金水区北三环与索凌路交叉口向北路西
好玩儿茶社棋牌,15890065559,二七区政通路升龙国际A区4号楼一单元905（四川担担面楼上）
彭世修脚(工人路店),0371-60939573,中原区工人路与互助路交叉口向南10米路西
东方足记保健推拿,17335717575,金水区东3街北段3号院
杨波采耳修脚(银莺路店),0371-55331212,管城回族区航海路与银莺路交叉口向南50米路西
6号影咖?茶吧,15239824122,二七区曙光路北段东方智慧城3楼北段第三间（王婆大虾三楼）
心明盲人按摩,0371-55622019/13460221730,二七区大学路航海路向南230米万达写字楼12B1845室（热风旁边，航空工业管理学院南校区西门对面）
匠心采耳馆,18236402087,荥阳市京城路京城花园西门北20米二楼
彭世修脚(玫瑰城店),0371-60329061,管城回族区南三环与橡树玫瑰城东南门300米路西
尽心盲人按摩,0371-55152800,金水区博学路与薛夏南街交叉口路南门面房（姚桥卫生院斜对面）
红颜?小酒馆,18530971875/19939993817,管城回族区东太康路28号大上海二楼
彭世修脚(美景鸿城店),0371-60956653,管城回族区航海路与七里河交叉口向西400米路南
手印时光DIY手工制作体验店,18512167726,中原区中原中路万达广场B座1006室
豫燕推拿按摩,15515594356/15514500612,中原区汝河路工人路口西耿河家园4号楼2单元一楼103室（滨河公园）
彭世修脚(沙口路店),0371-65329062,金水区黄河路与沙口路交叉口向南200米路东（沙口路南侧）
陶花源陶艺手工坊(二七万达店),13783695069/13733825278,二七区大学路航海路二七万达商务13号楼1813室
轻时光手工DIY蛋糕,17603872872,金水区花园路与丰产路交叉口（国贸新领地3号楼1单元2509室）
悦印象足浴养生会所,0371-61950000,荥阳市郑上路与荥泽大道北200米路东（悦蓝山西门）
郑州市动物园,0371-65721245-8826,金水区花园路103号
郑州海洋馆,0371-63567402/63567403,金水区国基路86号（茶城和陈砦花卉市场）
郑州方特旅游度假区,4001660006,中牟县郑开大道与人文路交汇处
郑州方特欢乐世界,0371-56928000/400-166-0006/13783626972,中牟县郑东新区人文路与物流通道交叉口方特欢乐世界
郑州方特梦幻王国,0371-56928200/56928888,中牟县郑开大道与人文路交汇处南1.5公里
方圆快捷酒店(火车站店),0371-88868777/88865666/56156777,二七区解放路与二马路交叉口向西50米路北
少林寺景区,0371-62745599/2746661,登封市西北约13公里处207国道旁
郑州园博园,0371-56818150/56818666/56818139,新郑市梁州大道与苑陵路交汇处东北角
海馨青年酒店(省人民医院会展中心店),0371-65387008/65387888,金水区经一路与纬四路交叉口东20米路南（近人民医院、省肿瘤医院）
锦江之星(河南博物院关虎屯地铁站店),0371-63879968/63879955,金水区经七路21号（经七路与丰产路交叉口北200米路西，近农业路）
郑州星空视觉迷幻艺术馆(大上海城旗舰店),15617559334,管城回族区东太康路28号大上海城购物中心4楼
方圆精品酒店(郑汴路店),0371-68988888,管城回族区城东路与郑汴路交叉口东南角（临近中原博览会展中心）
锦江之星(郑州文化路店),0371-63501166,金水区文化路78号（文化路与北三环交叉口南100米路西）
五月时尚酒店(国贸360店),0371-55070555,金水区经七路与红专路交叉口北200米路西（距国贸360商场500米）
锦江之星(郑州城东路店),0371-66305388/66307037,管城回族区城东路96号（城东路与商城路交叉口北100米路东）
海馨青年酒店(紫荆山地铁站店),0371-65559990,金水区金水路与政一街交叉口北200米路东，人民会堂东北角
悦美时尚酒店,0371-55358999,管城回族区城东路123号（城东路商城路北200米路西）
锦江之星(郑州花园路国贸360广场店),0371-55076666-0,金水区经五路与红专路交叉口东南角（经五路15号）
7天连锁酒店(郑州花园路国贸360广场店),0371-55152777,金水区花园路与丰产路交口东300米路南（丰产路与政六街交口东50米路南）
锦江之星品尚(郑州东风路轻工业学院店),0371-53399999,金水区东风路2号（东风路与信息学院路交叉口西200米路北）
天空明星蜡像馆,0371-65333400,二七区二七广场百年德化风情购物公园三楼
中菲商务酒店,0371-55132666/55133777,管城回族区人民路商城路交汇处向东200米路南（郑州市体育馆南门斜对面）
银基国际旅游度假区,0371-67006800,新密市黄帝宫御温泉景区
世纪星连锁酒店(郑州花园路国贸360店),0371-86006666,金水区花园路与红专路交汇处向东10米东盛国际（近黄河路2号地铁D出口、国贸360距离300米）
百花汤温泉(未来路店),0371-58561118,管城回族区未来路与商城路交叉口向北100米路西
江南春温泉,0371-85218888,"荥阳市江山路与北五环交叉口西六公里路北（广武镇大胡村）
江山路北段与S314交叉口向西六公里路北"
美大酒店(火车站二七广场店),0371-69362111/18736966887/13607683348,管城回族区西大街21世纪大厦（二七塔向东50米路北，左右间超市左侧观光电梯三楼）
轻住?旅行箱时尚酒店(商城路总店),0371-61006222-6333/61006333,管城回族区商城路与城东路交叉口向东50米路北
格瑞斯国际酒店(郑州二七广场大卫城店),0371-55965999/55965888,金水区人民路与商城路交汇处东200米路南格瑞斯停车场院内（近大上海、丹尼斯大卫城）
微佳酒店连锁(金成时代广场会展中心店),0371-55020222/18337152205/13273811689,金水区中州大道与红专路交叉口向西100米路北金成商务中心一楼（临近会展中心、金成时代广场）
蜗居精品时尚酒店,0371-55030555,金水区红专路与经一路交叉口向西20米路北（距国贸360商圈一千米）
海馨青年酒店(动物园国贸地铁口店),0371-65788999,金水区农业路与经五路交叉口向南30米路西（国贸360隔壁，距动物园地铁2号线关虎屯站250米）
星空时尚酒店(高铁东站店),0371-55261717,管城回族区经北六路与经开第一大街交汇处西行150米路北
7天连锁酒店(郑州火车站华润万象城店),0371-60126777/55691001,金水区铭功路与西太康路交叉口东50米路北
世纪欢乐园,0371-63282288/63282318,管城回族区石化路1号（近中州大道）
伏羲山大峡谷,0371-69226789,新密市尖山管委钟沟村
神仙洞景区,0371-69225888,新密市尖山乡神仙洞村
摩尔酒店,0371-65511675/65511066,金水区红专路与政六街交叉口向北100米路西
鸿果时尚酒店Hongguo Hotel,0371-55358766/55358799,金水区丰产路与政七街交叉口向南50米（近国贸360、动物园）
香堤湾亲子温泉,0371-85216666,荥阳市中原西路与商隐路交叉口北200米路东（李商隐公园西侧）
永合酒店,0371-60681888/60633014,金水区经三路与农业路交汇处东南角（银丰商务B座，近财富广场）
泽溪酒店,0371-61316532/61313932,管城回族区农业南路与永平路交汇处西南角（距离高铁站2.5公里）
银河艾美精品酒店,0371-85607777,巩义市新华路中段248号（财政局对过）
大河商务酒店,0371-65952222,金水区政七街4号（政七街与红旗路口交叉口东北角）
御景影院主题酒店(方特绿博园店),0371-62368599/13071049966,中牟县郑东新区白沙镇商都大道与袁庄路交汇处东50米（白沙镇政府东500米，现代物流园区旁）
伏羲山旅游区,0371-69226789,新密市月寨村
未来宜居酒店(省人民医院店),0371-63332338/55952355,金水区黄河路与经一路交叉口亚圣大厦西门
塔林,0371-62745000,登封市少林寺院西300米
如家酒店(郑州花园路国贸360店),0371-60681555/60681666/15036161946,金水区花园路和红专路交叉口南50米路西
静文书苑雅致酒店,0371-53388000/89963159/53388333,"金水区黄河路与经七路向东50米路北（建文新世界商场东500米,近二七广场，国贸360）"
未来宜居尚慧酒店(郑州曼哈顿燕庄地铁站店),0371-69078600/69078688,"金水区金水路与东明路交叉口南400米路西（近地铁1号线燕庄站C口,近space奥斯卡）"
山水时尚酒店(郑州农业路店),0371-55181000,金水区农业路52号丰业广场（农业路与南阳路交汇处东南角、近农业大学）
郑州海林酒店,0371-55622888,金水区农业路1号河南农业高新技术集团院内（距国贸360两百米，距地铁2号线关虎屯站200米）
华益商务酒店,0371-67263333/18137876861,金水区经六路索克豫发大厦B座（金水路与经六路交汇处北200米，距紫荆山地铁站500米）
嵩原假日酒店(会展中心店),0371-55552788/55552799/18638287576,金水区中州大道与红专路交汇处向西150米路南（距CBD1000米，距肿瘤医院300米）
